v	NotreDame_De_Paris.txt 27, Miserables.txt 71
vile	NotreDame_De_Paris.txt 1, Miserables.txt 8
vileness	Miserables.txt 1
vilest	NotreDame_De_Paris.txt 2
vilify	NotreDame_De_Paris.txt 1
village	NotreDame_De_Paris.txt 5, Miserables.txt 48
villager	Miserables.txt 3
villagers	Miserables.txt 1
villages	NotreDame_De_Paris.txt 2, Miserables.txt 8
villain	NotreDame_De_Paris.txt 1, Miserables.txt 13
villainous	Miserables.txt 4
villainously	Miserables.txt 1
villains	NotreDame_De_Paris.txt 1, Miserables.txt 2
villainy	Miserables.txt 1
villanous	NotreDame_De_Paris.txt 10
villard	Miserables.txt 1
villas	Miserables.txt 1
ville	NotreDame_De_Paris.txt 13, Miserables.txt 1
villele	Miserables.txt 3
villemomble	Miserables.txt 2
villeneuve	NotreDame_De_Paris.txt 1
villers	Miserables.txt 1
villette	Miserables.txt 1
villiers	NotreDame_De_Paris.txt 1, Miserables.txt 3
villon	Miserables.txt 4
villons	Miserables.txt 1
vin	Miserables.txt 1
vincennes	NotreDame_De_Paris.txt 5, Miserables.txt 5
vincent	Miserables.txt 4
vinctus	NotreDame_De_Paris.txt 1
vindelin	NotreDame_De_Paris.txt 1
vindicte	Miserables.txt 2
vindictiveness	Miserables.txt 1
vine	NotreDame_De_Paris.txt 6, Miserables.txt 7
vinegar	NotreDame_De_Paris.txt 1, Miserables.txt 1
vines	Miserables.txt 2
vineyard	Miserables.txt 2
vingt	Miserables.txt 1
vinous	Miserables.txt 1
vins	Miserables.txt 1
vintage	NotreDame_De_Paris.txt 2, Miserables.txt 2
vintner	Miserables.txt 1
vinum	NotreDame_De_Paris.txt 3
viola	Miserables.txt 1
violate	NotreDame_De_Paris.txt 1, Miserables.txt 1
violated	NotreDame_De_Paris.txt 4, Miserables.txt 6
violates	NotreDame_De_Paris.txt 1, Miserables.txt 3
violations	Miserables.txt 2
violator	Miserables.txt 1
violence	NotreDame_De_Paris.txt 7, Miserables.txt 35
violences	Miserables.txt 5
violent	NotreDame_De_Paris.txt 24, Miserables.txt 57
violently	NotreDame_De_Paris.txt 12, Miserables.txt 16
violet	NotreDame_De_Paris.txt 8, Miserables.txt 10
violets	Miserables.txt 2
violette	NotreDame_De_Paris.txt 1
violin	Miserables.txt 1
violins	Miserables.txt 4
viper	NotreDame_De_Paris.txt 1, Miserables.txt 3
vipers	Miserables.txt 1
vir	Miserables.txt 1
vireton	NotreDame_De_Paris.txt 1
viretons	NotreDame_De_Paris.txt 1
virgil	NotreDame_De_Paris.txt 1, Miserables.txt 6
virgin	NotreDame_De_Paris.txt 42, Miserables.txt 37
virginal	NotreDame_De_Paris.txt 1, Miserables.txt 5
virginity	NotreDame_De_Paris.txt 2, Miserables.txt 6
virgins	NotreDame_De_Paris.txt 2, Miserables.txt 12
virile	NotreDame_De_Paris.txt 1, Miserables.txt 2
virtue	NotreDame_De_Paris.txt 20, Miserables.txt 64
virtues	NotreDame_De_Paris.txt 5, Miserables.txt 10
virtuoso	Miserables.txt 1
virtuous	NotreDame_De_Paris.txt 2, Miserables.txt 8
virtuously	Miserables.txt 1
virtute	NotreDame_De_Paris.txt 1
virus	NotreDame_De_Paris.txt 1, Miserables.txt 1
vis	Miserables.txt 6
visage	NotreDame_De_Paris.txt 15, Miserables.txt 17
visages	NotreDame_De_Paris.txt 6, Miserables.txt 5
viscomty	NotreDame_De_Paris.txt 3
viscous	Miserables.txt 2
vise	Miserables.txt 1
visible	NotreDame_De_Paris.txt 31, Miserables.txt 121
visibly	NotreDame_De_Paris.txt 5, Miserables.txt 4
visigoths	Miserables.txt 1
vision	NotreDame_De_Paris.txt 12, Miserables.txt 33
visionary	Miserables.txt 7
visions	Miserables.txt 10
visit	NotreDame_De_Paris.txt 10, Miserables.txt 36
visitandines	Miserables.txt 1
visitation	Miserables.txt 1
visited	NotreDame_De_Paris.txt 1, Miserables.txt 10
visiting	NotreDame_De_Paris.txt 2, Miserables.txt 1
visitor	NotreDame_De_Paris.txt 1, Miserables.txt 3
visitors	NotreDame_De_Paris.txt 3, Miserables.txt 5
visits	NotreDame_De_Paris.txt 1, Miserables.txt 14
visor	Miserables.txt 5
visored	Miserables.txt 1
visual	NotreDame_De_Paris.txt 2, Miserables.txt 1
vitaelampada	Miserables.txt 1
vital	Miserables.txt 1
vitality	Miserables.txt 3
vitals	NotreDame_De_Paris.txt 7
vitam	NotreDame_De_Paris.txt 2, Miserables.txt 1
vitari	NotreDame_De_Paris.txt 1
vitellius	Miserables.txt 1
vitiated	NotreDame_De_Paris.txt 1
vitr	NotreDame_De_Paris.txt 1
vitre	Miserables.txt 2
vitreous	Miserables.txt 1
vitriol	Miserables.txt 1
vitruvius	NotreDame_De_Paris.txt 1
vittoria	NotreDame_De_Paris.txt 1, Miserables.txt 1
vivacious	NotreDame_De_Paris.txt 1, Miserables.txt 7
vivaciously	Miserables.txt 5
vivacity	Miserables.txt 10
vivait	Miserables.txt 1
vivant	Miserables.txt 1
vivante	NotreDame_De_Paris.txt 1
vive	Miserables.txt 5
vivian	Miserables.txt 3
vivid	NotreDame_De_Paris.txt 4, Miserables.txt 5
vividly	NotreDame_De_Paris.txt 2, Miserables.txt 3
vivified	NotreDame_De_Paris.txt 1, Miserables.txt 1
vivifying	Miserables.txt 1
vivions	Miserables.txt 1
vivonne	Miserables.txt 1
vixi	Miserables.txt 1
vlajean	Miserables.txt 1
vobis	Miserables.txt 1
vocabulary	Miserables.txt 3
vocal	Miserables.txt 17
vocales	Miserables.txt 1
vocation	NotreDame_De_Paris.txt 2, Miserables.txt 4
vocations	Miserables.txt 2
voce	NotreDame_De_Paris.txt 1
vocem	NotreDame_De_Paris.txt 1
voci	Miserables.txt 1
vociferate	Miserables.txt 2
vociferated	NotreDame_De_Paris.txt 1, Miserables.txt 2
vogue	Miserables.txt 3
voice	NotreDame_De_Paris.txt 169, Miserables.txt 343
voiceless	NotreDame_De_Paris.txt 1, Miserables.txt 1
voices	NotreDame_De_Paris.txt 13, Miserables.txt 40
voici	Miserables.txt 2
void	NotreDame_De_Paris.txt 3, Miserables.txt 11
voids	Miserables.txt 1
voila	Miserables.txt 1
voileci	Miserables.txt 2
voir	NotreDame_De_Paris.txt 2, Miserables.txt 1
voirmizelle	NotreDame_De_Paris.txt 1
voit	Miserables.txt 2
voitures	Miserables.txt 1
vol	Miserables.txt 1
volatile	NotreDame_De_Paris.txt 2, Miserables.txt 1
volatilized	NotreDame_De_Paris.txt 1
volaverunt	Miserables.txt 1
volcano	NotreDame_De_Paris.txt 1, Miserables.txt 7
volcanoes	Miserables.txt 2
vole	NotreDame_De_Paris.txt 4
volet	Miserables.txt 1
voleur	NotreDame_De_Paris.txt 1
volley	Miserables.txt 3
volsci	Miserables.txt 1
voltaire	NotreDame_De_Paris.txt 3, Miserables.txt 40
voltairian	Miserables.txt 3
voltairianism	Miserables.txt 1
voltairians	Miserables.txt 1
volubility	Miserables.txt 1
volume	NotreDame_De_Paris.txt 5, Miserables.txt 39
volumes	NotreDame_De_Paris.txt 3, Miserables.txt 7
voluminous	Miserables.txt 2
voluntarily	NotreDame_De_Paris.txt 3, Miserables.txt 3
voluntary	NotreDame_De_Paris.txt 2, Miserables.txt 5
volunteer	NotreDame_De_Paris.txt 1, Miserables.txt 4
