parure	NotreDame_De_Paris.txt 1
parures	Miserables.txt 1
parva	NotreDame_De_Paris.txt 1
parvam	NotreDame_De_Paris.txt 1
parvis	NotreDame_De_Paris.txt 27
parvulos	Miserables.txt 1
parvulum	Miserables.txt 1
parvulus	Miserables.txt 2
pas	Miserables.txt 17, NotreDame_De_Paris.txt 10
pascal	Miserables.txt 3
pasha	Miserables.txt 1
pasque	NotreDame_De_Paris.txt 17
pasquier	NotreDame_De_Paris.txt 3
pass	Miserables.txt 157, NotreDame_De_Paris.txt 31
passa	Miserables.txt 1
passable	Miserables.txt 2
passably	NotreDame_De_Paris.txt 1, Miserables.txt 1
passage	Miserables.txt 51, NotreDame_De_Paris.txt 20
passages	Miserables.txt 8, NotreDame_De_Paris.txt 1
passait	Miserables.txt 1
passant	NotreDame_De_Paris.txt 1
passants	Miserables.txt 1
passe	NotreDame_De_Paris.txt 2
passed	Miserables.txt 310, NotreDame_De_Paris.txt 106
passengers	Miserables.txt 2, NotreDame_De_Paris.txt 1
passer	Miserables.txt 40, NotreDame_De_Paris.txt 5
passerby	Miserables.txt 1
passers	Miserables.txt 49, NotreDame_De_Paris.txt 15
passersby	Miserables.txt 4
passes	Miserables.txt 35, NotreDame_De_Paris.txt 6
passeur	NotreDame_De_Paris.txt 3
passibus	NotreDame_De_Paris.txt 1
passing	Miserables.txt 97, NotreDame_De_Paris.txt 26
passion	Miserables.txt 32, NotreDame_De_Paris.txt 17
passionate	NotreDame_De_Paris.txt 7, Miserables.txt 7
passionately	Miserables.txt 6, NotreDame_De_Paris.txt 1
passions	Miserables.txt 21, NotreDame_De_Paris.txt 4
passive	Miserables.txt 11, NotreDame_De_Paris.txt 1
passively	Miserables.txt 3
passivity	Miserables.txt 3
passport	Miserables.txt 19
passports	Miserables.txt 1
password	NotreDame_De_Paris.txt 3, Miserables.txt 3
passy	Miserables.txt 5
past	Miserables.txt 118, NotreDame_De_Paris.txt 11
paste	Miserables.txt 6, NotreDame_De_Paris.txt 1
pasted	Miserables.txt 4
pasticcio	NotreDame_De_Paris.txt 1
pastime	NotreDame_De_Paris.txt 1
pastor	Miserables.txt 1
pastoral	Miserables.txt 8
pastry	Miserables.txt 3, NotreDame_De_Paris.txt 2
pasture	Miserables.txt 1
pastures	Miserables.txt 1
pat	Miserables.txt 1
patagon	Miserables.txt 3
patch	Miserables.txt 4, NotreDame_De_Paris.txt 2
patched	Miserables.txt 5, NotreDame_De_Paris.txt 2
patching	Miserables.txt 1
patchouli	Miserables.txt 1
pateaux	Miserables.txt 1
paten	Miserables.txt 1
patent	Miserables.txt 4, NotreDame_De_Paris.txt 2
patente	NotreDame_De_Paris.txt 1
pater	Miserables.txt 4, NotreDame_De_Paris.txt 3
paternal	Miserables.txt 6, NotreDame_De_Paris.txt 2
paternally	Miserables.txt 2
paternity	Miserables.txt 6
paternoster	Miserables.txt 2
path	Miserables.txt 25, NotreDame_De_Paris.txt 5
pathetic	Miserables.txt 5, NotreDame_De_Paris.txt 4
pathologically	Miserables.txt 1
paths	Miserables.txt 12, NotreDame_De_Paris.txt 1
pathway	Miserables.txt 2, NotreDame_De_Paris.txt 1
patience	Miserables.txt 13, NotreDame_De_Paris.txt 8
patient	NotreDame_De_Paris.txt 7, Miserables.txt 4
patiently	NotreDame_De_Paris.txt 4, Miserables.txt 2
patients	Miserables.txt 6
patmos	Miserables.txt 1
patois	Miserables.txt 3
patrem	NotreDame_De_Paris.txt 1, Miserables.txt 1
patria	Miserables.txt 1
patriarch	Miserables.txt 2
patriarchal	Miserables.txt 2
patriarches	Miserables.txt 1
patriarchs	Miserables.txt 2
patrician	Miserables.txt 1
patrimonies	Miserables.txt 1
patrimony	Miserables.txt 1
patriotes	Miserables.txt 1
patriotic	Miserables.txt 4
patriotism	NotreDame_De_Paris.txt 1, Miserables.txt 1
patriots	Miserables.txt 3
patrocles	Miserables.txt 1
patrol	Miserables.txt 23, NotreDame_De_Paris.txt 2
patrols	Miserables.txt 7
patron	Miserables.txt 18, NotreDame_De_Paris.txt 1
patronage	Miserables.txt 1
patroness	NotreDame_De_Paris.txt 1
patronized	Miserables.txt 1
patronizes	Miserables.txt 1
patronizing	NotreDame_De_Paris.txt 1
patrons	Miserables.txt 1
patru	NotreDame_De_Paris.txt 1
patted	NotreDame_De_Paris.txt 2
patter	NotreDame_De_Paris.txt 1, Miserables.txt 1
pattern	Miserables.txt 11, NotreDame_De_Paris.txt 1
patterns	Miserables.txt 1
patuit	NotreDame_De_Paris.txt 1
pau	Miserables.txt 2
paucity	Miserables.txt 1
paul	Miserables.txt 16, NotreDame_De_Paris.txt 4
paule	NotreDame_De_Paris.txt 1
pauli	NotreDame_De_Paris.txt 1
paulin	Miserables.txt 1
paunches	Miserables.txt 1
pauper	Miserables.txt 2
pauperism	Miserables.txt 4
pause	Miserables.txt 34, NotreDame_De_Paris.txt 6
paused	Miserables.txt 72, NotreDame_De_Paris.txt 13
pauses	Miserables.txt 2
pausing	Miserables.txt 6
pauvre	Miserables.txt 1
pauvres	Miserables.txt 1
pave	NotreDame_De_Paris.txt 1
paved	Miserables.txt 12, NotreDame_De_Paris.txt 1
pavee	Miserables.txt 4
pavement	Miserables.txt 76, NotreDame_De_Paris.txt 62
pavements	Miserables.txt 25, NotreDame_De_Paris.txt 9
pavilion	Miserables.txt 14
pavilions	NotreDame_De_Paris.txt 1
pavillons	Miserables.txt 1
paving	Miserables.txt 49, NotreDame_De_Paris.txt 7
paw	Miserables.txt 5, NotreDame_De_Paris.txt 1
pawed	Miserables.txt 1
pawn	Miserables.txt 1
pawnbroker	Miserables.txt 1
pawned	Miserables.txt 2
pawnshop	Miserables.txt 1
paws	Miserables.txt 13, NotreDame_De_Paris.txt 1
pax	NotreDame_De_Paris.txt 2
pay	Miserables.txt 98, NotreDame_De_Paris.txt 20
payait	Miserables.txt 1
payer	Miserables.txt 1
payeth	NotreDame_De_Paris.txt 1
paying	Miserables.txt 17, NotreDame_De_Paris.txt 7
payment	Miserables.txt 4, NotreDame_De_Paris.txt 2
payments	Miserables.txt 4, NotreDame_De_Paris.txt 3
paynette	NotreDame_De_Paris.txt 1
pays	Miserables.txt 7, NotreDame_De_Paris.txt 1
peace	Miserables.txt 88, NotreDame_De_Paris.txt 9
peaceable	Miserables.txt 12, NotreDame_De_Paris.txt 2
peaceably	Miserables.txt 3
peaceful	Miserables.txt 16
peacefully	Miserables.txt 2
peacefulness	Miserables.txt 1
peach	Miserables.txt 2
peacock	NotreDame_De_Paris.txt 1
peak	Miserables.txt 3
peaked	Miserables.txt 2
peaks	NotreDame_De_Paris.txt 1
peal	NotreDame_De_Paris.txt 11, Miserables.txt 9
pealed	NotreDame_De_Paris.txt 1
pealing	NotreDame_De_Paris.txt 1, Miserables.txt 1
peals	Miserables.txt 5, NotreDame_De_Paris.txt 2
pear	Miserables.txt 7
pearl	Miserables.txt 5, NotreDame_De_Paris.txt 2
pearls	Miserables.txt 8, NotreDame_De_Paris.txt 2
pears	Miserables.txt 3
peas	Miserables.txt 2
peasant	Miserables.txt 57
peasants	Miserables.txt 19, NotreDame_De_Paris.txt 5
peat	NotreDame_De_Paris.txt 1
peau	Miserables.txt 1
pebble	Miserables.txt 5, NotreDame_De_Paris.txt 3
pebbles	NotreDame_De_Paris.txt 4, Miserables.txt 2
pebbly	Miserables.txt 1
peccavi	Miserables.txt 1
pechmeja	Miserables.txt 1
peck	Miserables.txt 2
pecked	Miserables.txt 1
pecking	NotreDame_De_Paris.txt 1, Miserables.txt 1
pecks	Miserables.txt 1
pecoris	NotreDame_De_Paris.txt 2
pectoral	Miserables.txt 1
peculiar	Miserables.txt 70, NotreDame_De_Paris.txt 15
peculiarities	Miserables.txt 9
peculiarity	Miserables.txt 19
peculiarly	Miserables.txt 6, NotreDame_De_Paris.txt 1
pecuniariam	NotreDame_De_Paris.txt 1
pedagogical	NotreDame_De_Paris.txt 1
pedagogue	Miserables.txt 1
pedant	Miserables.txt 3
pedantic	Miserables.txt 1
pedantry	Miserables.txt 2
pedants	Miserables.txt 1
pedaso	NotreDame_De_Paris.txt 2
pedasus	Miserables.txt 1
peddlers	Miserables.txt 1
pedes	NotreDame_De_Paris.txt 1
pedestal	Miserables.txt 5
pedestals	NotreDame_De_Paris.txt 1, Miserables.txt 1
pedestrian	Miserables.txt 5
pedestrians	Miserables.txt 6
pedicas	NotreDame_De_Paris.txt 1
pediment	Miserables.txt 4, NotreDame_De_Paris.txt 2
pedler	Miserables.txt 3
pedlers	Miserables.txt 2
peel	Miserables.txt 1
peeled	Miserables.txt 1
peeling	Miserables.txt 1
peep	Miserables.txt 9, NotreDame_De_Paris.txt 1
peeped	Miserables.txt 7, NotreDame_De_Paris.txt 1
peepers	Miserables.txt 4
peeping	NotreDame_De_Paris.txt 1, Miserables.txt 1
peeps	Miserables.txt 1
peer	Miserables.txt 10
peerage	Miserables.txt 5, NotreDame_De_Paris.txt 1
peered	NotreDame_De_Paris.txt 1, Miserables.txt 1
peering	NotreDame_De_Paris.txt 1, Miserables.txt 1
peers	Miserables.txt 7
peevish	Miserables.txt 4, NotreDame_De_Paris.txt 1
peg	Miserables.txt 1
pegasi	Miserables.txt 1
pegasus	NotreDame_De_Paris.txt 1
pegre	Miserables.txt 4
pegrenne	Miserables.txt 1
peine	NotreDame_De_Paris.txt 3, Miserables.txt 2
pekin	Miserables.txt 1
pekins	Miserables.txt 1
pelagie	Miserables.txt 1
pelagius	Miserables.txt 2
pelicier	Miserables.txt 1
pelion	Miserables.txt 1
pelisse	Miserables.txt 3
