feebly	Miserables.txt 8, NotreDame_De_Paris.txt 3
feed	NotreDame_De_Paris.txt 1, Miserables.txt 1
feeding	NotreDame_De_Paris.txt 1
feel	Miserables.txt 74, NotreDame_De_Paris.txt 20
feeling	Miserables.txt 34, NotreDame_De_Paris.txt 16
feelings	Miserables.txt 5
feels	Miserables.txt 41, NotreDame_De_Paris.txt 12
fees	Miserables.txt 5, NotreDame_De_Paris.txt 4
feet	Miserables.txt 208, NotreDame_De_Paris.txt 110
feign	Miserables.txt 1
feigned	Miserables.txt 2, NotreDame_De_Paris.txt 1
feigns	Miserables.txt 2
feint	Miserables.txt 2
feints	Miserables.txt 1
feletez	Miserables.txt 1
felicitations	NotreDame_De_Paris.txt 1
felicite	Miserables.txt 1
felicities	Miserables.txt 2
felicitous	Miserables.txt 1
felicity	Miserables.txt 12, NotreDame_De_Paris.txt 1
feline	Miserables.txt 2
felix	Miserables.txt 7
fell	Miserables.txt 197, NotreDame_De_Paris.txt 79
fellers	Miserables.txt 1
fellies	Miserables.txt 1
fellow	Miserables.txt 88, NotreDame_De_Paris.txt 28
fellows	Miserables.txt 19, NotreDame_De_Paris.txt 7
fellowship	Miserables.txt 1
felly	Miserables.txt 1
felt	Miserables.txt 304, NotreDame_De_Paris.txt 91
female	Miserables.txt 28, NotreDame_De_Paris.txt 16
females	NotreDame_De_Paris.txt 1, Miserables.txt 1
feminine	Miserables.txt 12, NotreDame_De_Paris.txt 4
femme	Miserables.txt 1
fen	NotreDame_De_Paris.txt 1
fence	Miserables.txt 20, NotreDame_De_Paris.txt 1
fenced	NotreDame_De_Paris.txt 1
fencing	Miserables.txt 8
fender	Miserables.txt 2
fennel	Miserables.txt 1
ferdinand	Miserables.txt 2
ferment	NotreDame_De_Paris.txt 3
fermentation	Miserables.txt 7
fermenting	Miserables.txt 1
ferments	NotreDame_De_Paris.txt 1
ferney	Miserables.txt 1
fernicle	NotreDame_De_Paris.txt 1
ferns	Miserables.txt 1
ferocious	Miserables.txt 44, NotreDame_De_Paris.txt 1
ferociously	Miserables.txt 3
ferocities	Miserables.txt 2
ferocity	Miserables.txt 6
ferou	Miserables.txt 1
ferrara	Miserables.txt 1
ferret	Miserables.txt 1
ferreted	Miserables.txt 2
ferrette	Miserables.txt 1
ferronnerie	NotreDame_De_Paris.txt 1
ferrution	NotreDame_De_Paris.txt 1
ferry	Miserables.txt 1
ferryman	NotreDame_De_Paris.txt 5
fers	Miserables.txt 1
fertanche	Miserables.txt 1
fertile	Miserables.txt 2, NotreDame_De_Paris.txt 1
fertility	Miserables.txt 1
fertilizers	Miserables.txt 1
fertille	Miserables.txt 1
fervacques	Miserables.txt 1
fervent	NotreDame_De_Paris.txt 1, Miserables.txt 1
fervor	Miserables.txt 1
fesch	Miserables.txt 3
festival	Miserables.txt 19, NotreDame_De_Paris.txt 17
festivals	Miserables.txt 6, NotreDame_De_Paris.txt 4
festive	Miserables.txt 1
fetch	Miserables.txt 23
fetched	Miserables.txt 3
fetching	Miserables.txt 1
fete	Miserables.txt 1
fetes	Miserables.txt 1
fetiches	Miserables.txt 1
fetid	Miserables.txt 7
fetidness	Miserables.txt 3
fetter	Miserables.txt 3, NotreDame_De_Paris.txt 1
fettered	Miserables.txt 1
fetters	Miserables.txt 6, NotreDame_De_Paris.txt 1
feu	NotreDame_De_Paris.txt 2, Miserables.txt 1
feudal	NotreDame_De_Paris.txt 9, Miserables.txt 5
feudalism	NotreDame_De_Paris.txt 5, Miserables.txt 3
feuillage	NotreDame_De_Paris.txt 1
feuillantines	Miserables.txt 1
feuilly	Miserables.txt 26
