g	Miserables.txt 13
glittering	Miserables.txt 7, NotreDame_De_Paris.txt 6
gloaming	Miserables.txt 1
gloating	Miserables.txt 1
globe	Miserables.txt 11, NotreDame_De_Paris.txt 1
globes	NotreDame_De_Paris.txt 1, Miserables.txt 1
gloire	Miserables.txt 2
gloom	Miserables.txt 63, NotreDame_De_Paris.txt 24
gloomiest	NotreDame_De_Paris.txt 1
gloomily	Miserables.txt 2
gloomy	Miserables.txt 104, NotreDame_De_Paris.txt 44
glories	Miserables.txt 1
gloriette	NotreDame_De_Paris.txt 1
glorieux	Miserables.txt 2
glorification	Miserables.txt 2, NotreDame_De_Paris.txt 1
glorified	Miserables.txt 1
glorify	Miserables.txt 1
glorifying	Miserables.txt 3
glorious	Miserables.txt 4, NotreDame_De_Paris.txt 1
gloriously	Miserables.txt 1
glory	Miserables.txt 46, NotreDame_De_Paris.txt 6
gloss	Miserables.txt 1
glossa	NotreDame_De_Paris.txt 1
glossy	NotreDame_De_Paris.txt 2
glove	NotreDame_De_Paris.txt 1, Miserables.txt 1
gloved	Miserables.txt 1
gloves	Miserables.txt 9
glow	Miserables.txt 18
glowed	NotreDame_De_Paris.txt 1
gloweth	NotreDame_De_Paris.txt 1
glowing	Miserables.txt 11, NotreDame_De_Paris.txt 3
glows	NotreDame_De_Paris.txt 1, Miserables.txt 1
glowworm	Miserables.txt 1
glued	Miserables.txt 4, NotreDame_De_Paris.txt 2
glum	Miserables.txt 1
glut	Miserables.txt 1
glutton	Miserables.txt 1
gluttony	Miserables.txt 3
gnarled	Miserables.txt 1
gnash	NotreDame_De_Paris.txt 2, Miserables.txt 1
gnashed	NotreDame_De_Paris.txt 5
gnashes	Miserables.txt 1
gnashing	NotreDame_De_Paris.txt 4, Miserables.txt 2
gnat	NotreDame_De_Paris.txt 3, Miserables.txt 2
gnats	Miserables.txt 1
gnaw	Miserables.txt 4
gnawed	NotreDame_De_Paris.txt 3, Miserables.txt 3
gnawing	Miserables.txt 5, NotreDame_De_Paris.txt 1
gnaws	Miserables.txt 2
gnier	NotreDame_De_Paris.txt 2
gnome	NotreDame_De_Paris.txt 4
gnomes	NotreDame_De_Paris.txt 1
gnon	Miserables.txt 1
go	Miserables.txt 455, NotreDame_De_Paris.txt 93
goad	NotreDame_De_Paris.txt 1
goal	Miserables.txt 15
goals	NotreDame_De_Paris.txt 1, Miserables.txt 1
goat	NotreDame_De_Paris.txt 110, Miserables.txt 7
goats	NotreDame_De_Paris.txt 2, Miserables.txt 1
gobble	Miserables.txt 1
gobbled	Miserables.txt 1
gobelins	Miserables.txt 8, NotreDame_De_Paris.txt 1
goblet	NotreDame_De_Paris.txt 5, Miserables.txt 4
goblin	Miserables.txt 2
goblins	Miserables.txt 2
god	Miserables.txt 359, NotreDame_De_Paris.txt 115
goddess	Miserables.txt 6, NotreDame_De_Paris.txt 1
goddesses	Miserables.txt 1
godfather	NotreDame_De_Paris.txt 1
godin	NotreDame_De_Paris.txt 1
godmother	NotreDame_De_Paris.txt 5
gods	Miserables.txt 11, NotreDame_De_Paris.txt 2
godsend	Miserables.txt 3
goes	Miserables.txt 56, NotreDame_De_Paris.txt 8
goeth	Miserables.txt 1
goethe	Miserables.txt 1
goff	Miserables.txt 1
