v	NotreDame_De_Paris.txt 27
visages	NotreDame_De_Paris.txt 6
viscomty	NotreDame_De_Paris.txt 3
visible	NotreDame_De_Paris.txt 31
visibly	NotreDame_De_Paris.txt 5
vision	NotreDame_De_Paris.txt 12
visit	NotreDame_De_Paris.txt 10
visited	NotreDame_De_Paris.txt 1
visiting	NotreDame_De_Paris.txt 2
visitor	NotreDame_De_Paris.txt 1
visitors	NotreDame_De_Paris.txt 3
visits	NotreDame_De_Paris.txt 1
visual	NotreDame_De_Paris.txt 2
vitals	NotreDame_De_Paris.txt 7
vitam	NotreDame_De_Paris.txt 2
vitari	NotreDame_De_Paris.txt 1
vitiated	NotreDame_De_Paris.txt 1
vitr	NotreDame_De_Paris.txt 1
vitruvius	NotreDame_De_Paris.txt 1
vittoria	NotreDame_De_Paris.txt 1
vivacious	NotreDame_De_Paris.txt 1
vivante	NotreDame_De_Paris.txt 1
vivid	NotreDame_De_Paris.txt 4
vividly	NotreDame_De_Paris.txt 2
vivified	NotreDame_De_Paris.txt 1
vocation	NotreDame_De_Paris.txt 2
voce	NotreDame_De_Paris.txt 1
vocem	NotreDame_De_Paris.txt 1
vociferated	NotreDame_De_Paris.txt 1
voice	NotreDame_De_Paris.txt 169
voiceless	NotreDame_De_Paris.txt 1
voices	NotreDame_De_Paris.txt 13
void	NotreDame_De_Paris.txt 3
voir	NotreDame_De_Paris.txt 2
voirmizelle	NotreDame_De_Paris.txt 1
volatile	NotreDame_De_Paris.txt 2
volatilized	NotreDame_De_Paris.txt 1
volcano	NotreDame_De_Paris.txt 1
vole	NotreDame_De_Paris.txt 4
voleur	NotreDame_De_Paris.txt 1
voltaire	NotreDame_De_Paris.txt 3
volume	NotreDame_De_Paris.txt 5
volumes	NotreDame_De_Paris.txt 3
voluntarily	NotreDame_De_Paris.txt 3
voluntary	NotreDame_De_Paris.txt 2
volunteer	NotreDame_De_Paris.txt 1
volunteers	NotreDame_De_Paris.txt 6
voluptuous	NotreDame_De_Paris.txt 3
voluptuousness	NotreDame_De_Paris.txt 3
volutes	NotreDame_De_Paris.txt 2
vomiting	NotreDame_De_Paris.txt 1
voracity	NotreDame_De_Paris.txt 1
vote	NotreDame_De_Paris.txt 2
voulgiers	NotreDame_De_Paris.txt 1
voult	NotreDame_De_Paris.txt 1
vow	NotreDame_De_Paris.txt 2
vowels	NotreDame_De_Paris.txt 1
vowing	NotreDame_De_Paris.txt 1
vows	NotreDame_De_Paris.txt 2
voyage	NotreDame_De_Paris.txt 2
voyer	NotreDame_De_Paris.txt 2
voyers	NotreDame_De_Paris.txt 1
vrai	NotreDame_De_Paris.txt 1
vre	NotreDame_De_Paris.txt 1
vue	NotreDame_De_Paris.txt 1
vulcan	NotreDame_De_Paris.txt 1
vulgar	NotreDame_De_Paris.txt 4
vulgariter	NotreDame_De_Paris.txt 1
vulgarly	NotreDame_De_Paris.txt 2
vult	NotreDame_De_Paris.txt 1
vyasa	NotreDame_De_Paris.txt 1
vying	NotreDame_De_Paris.txt 1
