j	Miserables.txt 16
jena	Miserables.txt 11
jenie	Miserables.txt 1
jerk	Miserables.txt 1
jerked	Miserables.txt 1
jerome	Miserables.txt 4
jerusalem	Miserables.txt 2
jest	Miserables.txt 10
jested	Miserables.txt 1
jesting	Miserables.txt 2
jests	Miserables.txt 3
jesuit	Miserables.txt 3
jesuits	Miserables.txt 2
jesus	Miserables.txt 38
jet	Miserables.txt 11
jets	Miserables.txt 2
jetties	Miserables.txt 1
jeu	Miserables.txt 1
jeune	Miserables.txt 2
jeunes	Miserables.txt 1
jeuneurs	Miserables.txt 2
jew	Miserables.txt 3
jewel	Miserables.txt 3
jewelled	Miserables.txt 1
jewellers	Miserables.txt 1
jewellery	Miserables.txt 4
jewelry	Miserables.txt 1
jewels	Miserables.txt 4
jewry	Miserables.txt 2
jews	Miserables.txt 1
jibes	Miserables.txt 1
jingling	Miserables.txt 1
job	Miserables.txt 7
jobs	Miserables.txt 1
jockey	Miserables.txt 1
jogged	Miserables.txt 2
john	Miserables.txt 9
johns	Miserables.txt 1
joie	Miserables.txt 1
join	Miserables.txt 10
joined	Miserables.txt 19
joiners	Miserables.txt 1
joining	Miserables.txt 3
joins	Miserables.txt 1
joint	Miserables.txt 1
jointed	Miserables.txt 1
jointing	Miserables.txt 1
joints	Miserables.txt 2
joists	Miserables.txt 1
joke	Miserables.txt 1
joker	Miserables.txt 1
joking	Miserables.txt 1
jolie	Miserables.txt 1
jollities	Miserables.txt 1
jollity	Miserables.txt 1
jolllly	Miserables.txt 2
jolly	Miserables.txt 6
jolt	Miserables.txt 2
jolted	Miserables.txt 3
jolting	Miserables.txt 3
jolts	Miserables.txt 2
joly	Miserables.txt 36
jomini	Miserables.txt 1
jonah	Miserables.txt 1
jonathan	Miserables.txt 1
jondrette	Miserables.txt 166
jondrettes	Miserables.txt 10
jordaens	Miserables.txt 1
joseph	Miserables.txt 5
josepha	Miserables.txt 1
josephine	Miserables.txt 2
josephus	Miserables.txt 1
jostle	Miserables.txt 1
jostled	Miserables.txt 6
jostles	Miserables.txt 2
jostling	Miserables.txt 1
jotted	Miserables.txt 1
joubert	Miserables.txt 4
jouer	Miserables.txt 1
joug	Miserables.txt 1
jour	Miserables.txt 7
jourdan	Miserables.txt 1
journal	Miserables.txt 4
journalists	Miserables.txt 2
journals	Miserables.txt 6
journey	Miserables.txt 26
journeyman	Miserables.txt 1
journeymen	Miserables.txt 1
journeys	Miserables.txt 4
jours	Miserables.txt 2
jousts	Miserables.txt 1
jovial	Miserables.txt 3
joviality	Miserables.txt 7
joy	Miserables.txt 143
joya	Miserables.txt 3
joyeux	Miserables.txt 1
joyful	Miserables.txt 1
joyfully	Miserables.txt 1
joyous	Miserables.txt 27
joyously	Miserables.txt 4
joys	Miserables.txt 14
juan	Miserables.txt 2
jubilation	Miserables.txt 2
judas	Miserables.txt 1
judengasse	Miserables.txt 1
judge	Miserables.txt 30
judged	Miserables.txt 20
judges	Miserables.txt 17
judging	Miserables.txt 9
judgment	Miserables.txt 15
judgments	Miserables.txt 2
judicatis	Miserables.txt 1
judicial	Miserables.txt 8
judicially	Miserables.txt 1
judith	Miserables.txt 2
jug	Miserables.txt 19
juggler	Miserables.txt 1
juggling	Miserables.txt 1
jugs	Miserables.txt 5
jugular	Miserables.txt 1
juice	Miserables.txt 1
julia	Miserables.txt 1
julien	Miserables.txt 2
juliet	Miserables.txt 1
july	Miserables.txt 41
jump	Miserables.txt 3
jumped	Miserables.txt 6
jumping	Miserables.txt 2
junction	Miserables.txt 6
juncture	Miserables.txt 1
junctures	Miserables.txt 1
june	Miserables.txt 79
jungfrau	Miserables.txt 2
junior	Miserables.txt 5
junk	Miserables.txt 1
juno	Miserables.txt 1
junot	Miserables.txt 1
jupiter	Miserables.txt 4
jupon	Miserables.txt 2
jura	Miserables.txt 1
jurait	Miserables.txt 1
jurassic	Miserables.txt 1
jurisdiction	Miserables.txt 1
jurors	Miserables.txt 1
jury	Miserables.txt 20
juryman	Miserables.txt 1
jussieu	Miserables.txt 1
just	Miserables.txt 502
juste	Miserables.txt 1
justice	Miserables.txt 83
justices	Miserables.txt 1
justified	Miserables.txt 1
justifying	Miserables.txt 1
justine	Miserables.txt 1
justinian	Miserables.txt 2
justly	Miserables.txt 6
juvenal	Miserables.txt 5
juvenals	Miserables.txt 1
juvenile	Miserables.txt 1
juxtaposition	Miserables.txt 3
