ban	C:\MiniGoogle\Books\hamlet 1
bands	C:\MiniGoogle\Books\hamlet 1
bank	C:\MiniGoogle\Books\hamlet 1
baptista	C:\MiniGoogle\Books\hamlet 1
bar	C:\MiniGoogle\Books\hamlet 1
barbary	C:\MiniGoogle\Books\hamlet 2
barber	C:\MiniGoogle\Books\hamlet 1
bare	C:\MiniGoogle\Books\hamlet 1
barefaced	C:\MiniGoogle\Books\hamlet 1
barefoot	C:\MiniGoogle\Books\hamlet 1
bark	C:\MiniGoogle\Books\hamlet 2
barr	C:\MiniGoogle\Books\hamlet 1
barrel	C:\MiniGoogle\Books\hamlet 1
barren	C:\MiniGoogle\Books\hamlet 1
base	C:\MiniGoogle\Books\hamlet 5
baseness	C:\MiniGoogle\Books\hamlet 1
baser	C:\MiniGoogle\Books\hamlet 2
basket	C:\MiniGoogle\Books\hamlet 2
bastard	C:\MiniGoogle\Books\hamlet 1
bat	C:\MiniGoogle\Books\hamlet 1
bated	C:\MiniGoogle\Books\hamlet 1
battalions	C:\MiniGoogle\Books\hamlet 1
batten	C:\MiniGoogle\Books\hamlet 1
battery	C:\MiniGoogle\Books\hamlet 1
battlements	C:\MiniGoogle\Books\hamlet 1
bawd	C:\MiniGoogle\Books\hamlet 1
bawdry	C:\MiniGoogle\Books\hamlet 1
bawds	C:\MiniGoogle\Books\hamlet 1
bawdy	C:\MiniGoogle\Books\hamlet 1
be	C:\MiniGoogle\Books\hamlet 228
beam	C:\MiniGoogle\Books\hamlet 1
bear	C:\MiniGoogle\Books\hamlet 15
beard	C:\MiniGoogle\Books\hamlet 6
beards	C:\MiniGoogle\Books\hamlet 1
bearers	C:\MiniGoogle\Books\hamlet 2
bearing	C:\MiniGoogle\Books\hamlet 1
bears	C:\MiniGoogle\Books\hamlet 2
beast	C:\MiniGoogle\Books\hamlet 6
beasts	C:\MiniGoogle\Books\hamlet 2
beaten	C:\MiniGoogle\Books\hamlet 1
beating	C:\MiniGoogle\Books\hamlet 3
beats	C:\MiniGoogle\Books\hamlet 1
beauteous	C:\MiniGoogle\Books\hamlet 1
beautied	C:\MiniGoogle\Books\hamlet 1
beauties	C:\MiniGoogle\Books\hamlet 1
beautified	C:\MiniGoogle\Books\hamlet 2
beauty	C:\MiniGoogle\Books\hamlet 6
beaver	C:\MiniGoogle\Books\hamlet 1
became	C:\MiniGoogle\Books\hamlet 1
