divided	C:\MiniGoogle\Books\hamlet 1
divine	C:\MiniGoogle\Books\hamlet 1
divinity	C:\MiniGoogle\Books\hamlet 2
divulging	C:\MiniGoogle\Books\hamlet 1
dizzy	C:\MiniGoogle\Books\hamlet 1
do	C:\MiniGoogle\Books\hamlet 160
doctor	C:\MiniGoogle\Books\hamlet 1
document	C:\MiniGoogle\Books\hamlet 1
does	C:\MiniGoogle\Books\hamlet 26
dog	C:\MiniGoogle\Books\hamlet 2
dogs	C:\MiniGoogle\Books\hamlet 1
doing	C:\MiniGoogle\Books\hamlet 1
dole	C:\MiniGoogle\Books\hamlet 1
dominions	C:\MiniGoogle\Books\hamlet 1
done	C:\MiniGoogle\Books\hamlet 22
donn	C:\MiniGoogle\Books\hamlet 1
doom	C:\MiniGoogle\Books\hamlet 2
doomsday	C:\MiniGoogle\Books\hamlet 3
door	C:\MiniGoogle\Books\hamlet 6
doors	C:\MiniGoogle\Books\hamlet 3
dost	C:\MiniGoogle\Books\hamlet 14
dotes	C:\MiniGoogle\Books\hamlet 1
doth	C:\MiniGoogle\Books\hamlet 27
double	C:\MiniGoogle\Books\hamlet 6
doublet	C:\MiniGoogle\Books\hamlet 1
doubt	C:\MiniGoogle\Books\hamlet 11
doubtful	C:\MiniGoogle\Books\hamlet 2
doubts	C:\MiniGoogle\Books\hamlet 1
douts	C:\MiniGoogle\Books\hamlet 1
dove	C:\MiniGoogle\Books\hamlet 2
down	C:\MiniGoogle\Books\hamlet 32
dowry	C:\MiniGoogle\Books\hamlet 1
dozen	C:\MiniGoogle\Books\hamlet 3
drab	C:\MiniGoogle\Books\hamlet 1
drabbing	C:\MiniGoogle\Books\hamlet 1
dragg	C:\MiniGoogle\Books\hamlet 1
dragging	C:\MiniGoogle\Books\hamlet 1
drains	C:\MiniGoogle\Books\hamlet 1
dram	C:\MiniGoogle\Books\hamlet 1
dramatis	C:\MiniGoogle\Books\hamlet 1
draughts	C:\MiniGoogle\Books\hamlet 1
draw	C:\MiniGoogle\Books\hamlet 9
drawing	C:\MiniGoogle\Books\hamlet 1
draws	C:\MiniGoogle\Books\hamlet 2
dread	C:\MiniGoogle\Books\hamlet 5
dreaded	C:\MiniGoogle\Books\hamlet 1
dreadful	C:\MiniGoogle\Books\hamlet 3
dreadfully	C:\MiniGoogle\Books\hamlet 1
dream	C:\MiniGoogle\Books\hamlet 6
dreams	C:\MiniGoogle\Books\hamlet 4
dreamt	C:\MiniGoogle\Books\hamlet 1
dressy	C:\MiniGoogle\Books\hamlet 1
drift	C:\MiniGoogle\Books\hamlet 4
drink	C:\MiniGoogle\Books\hamlet 15
drinking	C:\MiniGoogle\Books\hamlet 1
drinks	C:\MiniGoogle\Books\hamlet 1
drive	C:\MiniGoogle\Books\hamlet 2
driven	C:\MiniGoogle\Books\hamlet 1
drives	C:\MiniGoogle\Books\hamlet 1
drooping	C:\MiniGoogle\Books\hamlet 1
drop	C:\MiniGoogle\Books\hamlet 1
dropping	C:\MiniGoogle\Books\hamlet 1
droppings	C:\MiniGoogle\Books\hamlet 1
drown	C:\MiniGoogle\Books\hamlet 10
drowned	C:\MiniGoogle\Books\hamlet 2
drowns	C:\MiniGoogle\Books\hamlet 1
drugs	C:\MiniGoogle\Books\hamlet 1
drum	C:\MiniGoogle\Books\hamlet 2
drunk	C:\MiniGoogle\Books\hamlet 1
drunkards	C:\MiniGoogle\Books\hamlet 1
dry	C:\MiniGoogle\Books\hamlet 3
ducat	C:\MiniGoogle\Books\hamlet 1
ducats	C:\MiniGoogle\Books\hamlet 3
due	C:\MiniGoogle\Books\hamlet 1
dug	C:\MiniGoogle\Books\hamlet 1
duke	C:\MiniGoogle\Books\hamlet 1
dull	C:\MiniGoogle\Books\hamlet 6
duller	C:\MiniGoogle\Books\hamlet 1
dulls	C:\MiniGoogle\Books\hamlet 1
dumb	C:\MiniGoogle\Books\hamlet 5
dumbshows	C:\MiniGoogle\Books\hamlet 1
dungeons	C:\MiniGoogle\Books\hamlet 1
dunks	C:\MiniGoogle\Books\hamlet 1
dupp	C:\MiniGoogle\Books\hamlet 1
dust	C:\MiniGoogle\Books\hamlet 7
duties	C:\MiniGoogle\Books\hamlet 1
duty	C:\MiniGoogle\Books\hamlet 13
dwelling	C:\MiniGoogle\Books\hamlet 1
dye	C:\MiniGoogle\Books\hamlet 1
dying	C:\MiniGoogle\Books\hamlet 1
